customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
3685,2,1,0,22,0,9,72.62,1
1078,2,2,0,28,0,5,222.22,1
1078,2,2,0,9,0,0,3.5,0
1084,3,2,0,2,0,14,159.43,1
2804,6,1,0,34,0,4,1062.95,1
3816,2,1,0,21,0,6,434.26,1
2152,2,2,0,18,0,12,7.6,0
3949,2,1,0,0,0,4,130.57,0
2522,3,1,0,34,0,4,494.35,1
77,3,1,0,30,0,12,1.15,0
1082,3,1,0,44,0,6,951.69,1
3310,5,2,0,30,0,12,8.86,0
2858,2,2,0,49,0,10,163.99,1
3206,6,2,0,24,0,14,53.77,0
206,3,1,0,18,0,12,20.84,0
1838,4,1,0,15,0,10,127.05,1
2167,4,2,0,34,0,4,1014.14,1
2347,2,1,0,15,0,10,97.4,1
923,1,1,0,34,0,4,327.7,1
3155,2,1,0,30,0,12,2.06,0
2300,2,2,0,18,0,12,8.72,0
2366,2,2,0,30,0,12,39.74,0
1782,2,1,0,34,0,4,39.06,1
1382,5,1,0,18,0,12,10.08,0
3437,2,2,0,34,0,4,1035.47,1
3263,1,1,0,18,0,12,55.48,0
3441,3,2,0,40,0,13,844.5,1
3219,3,2,0,34,0,4,298.04,1
913,2,2,0,18,0,12,4.33,0
1219,2,2,0,30,0,12,17.39,0
405,3,2,0,14,0,10,836.04,1
1649,2,1,0,22,0,9,668.39,1
1784,3,2,0,46,0,5,340.26,1
2095,5,2,0,18,0,12,30.7,0
2187,2,1,0,42,0,11,536.48,1
605,4,1,0,43,0,7,17.28,1
3308,4,1,0,49,0,10,365.15,1
826,3,2,0,49,0,10,175.34,1
2402,2,1,0,6,0,6,434.5,1
3685,2,1,0,10,0,14,262.48,1
3497,2,1,0,49,0,10,800.01,1
1801,3,1,0,14,0,10,773.23,1
1426,3,1,0,40,0,13,1446.87,1
3245,2,1,0,46,0,5,242.5,1
2681,2,2,0,0,0,4,73.31,0
1249,3,1,0,34,0,4,886.25,1
631,2,2,0,3,0,8,274.5,1
1734,1,1,0,30,0,12,1.16,0
2428,2,1,0,10,0,14,577.27,1
46,4,2,0,49,0,10,362.14,1
395,2,1,0,18,0,12,43.89,0
3593,2,2,0,23,0,4,89.3,0
2429,2,1,0,18,0,12,27.49,0
3620,5,2,0,44,0,6,862.03,1
2132,3,1,0,49,0,10,2.4,1
2402,2,1,0,42,0,11,373.54,1
4009,4,2,0,18,0,12,30.52,0
225,3,2,0,10,0,14,50.64,1
2816,1,1,0,21,0,6,702.46,1
1838,4,1,0,34,0,4,390.63,1
1707,2,2,0,30,0,12,7.93,0
1448,3,1,0,31,0,2,174.22,0
3231,2,1,0,32,0,8,393.49,1
729,1,1,0,34,0,4,181.51,1
3204,6,1,0,21,0,6,550.15,1
2558,3,1,0,18,0,12,40.5,0
2691,3,2,0,18,0,12,31.88,0
1243,2,1,0,18,0,12,55.26,0
4082,3,1,0,18,0,12,40.6,0
1178,2,1,0,18,0,12,21.79,0
2697,3,2,0,34,0,4,358.03,1
783,3,1,0,30,0,12,34.85,0
4046,4,1,0,28,0,5,1.17,1
841,5,1,0,18,0,12,40.74,0
2657,3,1,0,18,0,12,3.36,0
1838,4,1,0,49,0,10,537.6,1
796,2,1,0,30,0,12,29.76,0
3780,3,2,0,18,0,12,30.34,0
1343,3,1,0,45,0,3,63.54,0
2187,2,1,0,49,0,10,296.77,1
2583,0,1,0,30,0,12,67.97,0
437,3,1,0,34,0,4,103.07,1
675,1,2,0,18,0,12,13.76,0
1281,4,2,0,30,0,12,24.95,0
947,2,1,0,30,0,12,3.35,0
103,5,2,0,30,0,12,3.31,0
3993,2,1,0,30,0,12,1.62,0
3629,2,1,0,30,0,12,8.82,0
758,1,2,0,10,0,14,83.0,1
2435,4,1,0,15,0,10,423.9,1
78,4,2,0,22,0,9,314.25,1
640,4,1,0,22,0,9,615.06,1
1790,1,1,0,30,0,12,15.06,0
3001,3,2,0,30,0,12,26.79,0
790,3,1,0,46,0,5,894.65,1
3019,3,2,0,9,0,0,19.0,1
876,2,1,0,18,0,12,19.04,0
301,3,1,0,18,0,12,0.75,0
3515,3,1,0,30,0,12,31.88,0
1480,3,1,0,49,0,10,673.91,1
1234,3,1,0,29,0,6,321.46,1
2900,2,1,0,30,0,12,1.52,0
1658,2,1,0,18,0,12,28.26,0
1686,2,1,0,2,0,14,246.0,1
2674,4,2,0,30,0,12,21.82,0
3380,6,1,0,40,0,13,3313.92,1
394,4,2,0,34,0,4,279.71,1
4080,2,1,0,18,0,12,10.79,0
2423,2,1,0,18,0,12,16.25,0
394,4,2,0,34,0,4,81.15,1
2157,5,2,0,49,0,10,442.42,1
101,4,2,0,10,0,14,31.88,1
3968,3,2,0,34,0,4,543.95,1
1929,4,1,0,18,0,12,48.87,0
1916,2,1,0,18,0,12,54.42,0
1736,2,2,0,30,0,12,59.41,0
3286,2,1,0,21,0,6,387.75,1
4040,3,2,0,34,0,4,186.97,1
777,1,1,0,40,0,13,851.2,1
394,4,2,0,34,0,4,677.13,1
1249,3,1,0,41,0,14,351.73,1
973,5,2,0,30,0,12,36.6,0
2073,4,2,0,30,0,12,19.41,0
25,2,1,0,49,0,10,74.48,1
769,5,1,0,32,0,8,308.82,1
1222,2,1,0,32,0,8,504.97,1
1522,2,1,0,30,0,12,1.78,0
913,2,2,0,18,0,12,14.29,0
2402,2,1,0,34,0,4,34.06,1
1600,4,1,0,18,0,12,5.22,0
2553,2,2,0,30,0,12,55.03,0
1571,6,1,0,30,0,12,28.67,0
3942,4,2,0,21,0,6,761.66,1
2228,3,1,0,30,0,12,18.32,0
2101,3,1,0,18,0,12,41.73,0
1226,1,2,0,3,0,8,327.41,1
3985,4,2,0,30,0,12,10.88,0
3685,2,1,0,37,0,2,248.34,1
3092,3,1,0,43,0,7,142.19,1
1724,4,1,0,15,0,10,515.99,1
1097,3,1,0,18,0,12,46.95,0
3309,2,1,0,18,0,12,26.54,0
4064,4,2,0,41,0,14,73.02,0
2500,5,1,0,43,0,7,38.03,0
1604,3,2,0,22,0,9,571.7,1
1027,1,1,0,12,0,10,1201.13,1
2402,2,1,0,34,0,4,451.19,1
275,2,1,0,18,0,12,25.57,0
1089,4,1,0,26,0,13,2503.3,1
3002,2,1,0,40,0,13,245.32,1
2805,2,1,0,34,0,4,492.21,1
2385,2,1,0,15,0,10,448.11,1
2402,2,1,0,49,0,10,457.76,1
663,2,2,0,43,0,7,53.31,1
869,2,2,0,18,0,12,17.02,0
2807,1,2,0,21,0,6,474.99,1
3308,4,1,0,36,0,4,130.56,1
1935,4,1,0,18,0,12,20.83,0
2796,2,2,0,42,0,11,160.09,1
628,1,2,0,49,0,10,141.19,1
3790,4,2,0,30,0,12,14.15,0
2803,1,1,0,34,0,4,404.11,1
1978,2,2,0,30,0,12,0.98,0
1315,2,1,0,32,0,8,167.48,1
2537,4,1,0,49,0,10,694.91,1
463,4,2,0,18,0,12,12.29,0
1686,2,1,0,27,0,14,243.94,1
881,2,2,0,30,0,12,32.0,0
3157,4,2,0,18,0,12,44.24,0
756,2,2,0,30,0,12,31.32,0
847,2,2,0,49,0,10,277.76,1
1005,4,2,0,49,0,10,11.23,1
2842,3,2,0,18,0,12,48.85,0
1005,4,2,0,2,0,14,347.24,1
1729,4,1,0,18,0,12,35.81,0
2949,0,1,0,34,0,4,833.47,1
2268,4,1,0,15,0,10,154.97,1
2626,5,2,0,49,0,10,680.88,1
3820,3,1,0,32,0,8,192.92,1
1656,4,1,0,30,0,12,35.95,0
3910,3,2,0,18,0,12,41.79,0
2804,6,1,0,42,0,11,330.49,1
1502,5,2,0,30,0,12,4.2,0
501,2,1,0,34,0,4,622.12,1
1014,3,1,0,6,0,6,464.58,1
1630,2,1,0,45,0,3,31.15,0
3650,1,1,0,30,0,12,46.02,0
3837,4,2,0,30,0,12,25.95,0
2279,3,2,0,18,0,12,6.09,0
3226,5,1,0,49,0,10,899.91,1
2760,2,2,0,18,0,12,34.41,0
3975,1,1,0,49,0,10,454.09,1
3879,2,2,0,18,0,12,7.16,0
2960,4,1,0,42,0,11,783.96,1
3076,3,1,0,18,0,12,43.76,0
2835,2,1,0,34,0,4,135.38,1
403,6,1,0,18,0,12,31.98,0
2534,4,1,0,30,0,12,29.47,0
2147,4,2,0,34,0,4,310.47,1
3898,3,2,0,18,0,12,32.25,0
3926,4,1,0,25,0,6,735.75,1
1017,1,1,0,18,0,12,72.58,0
4094,3,1,0,30,0,12,0.53,0
3919,6,1,0,30,0,12,21.72,0
1777,5,2,0,30,0,12,7.34,0
3305,2,1,0,40,0,13,6110.23,1
693,1,2,0,30,0,12,16.2,0
2827,4,1,0,18,0,12,1.18,0
2224,6,1,0,30,0,12,7.01,0
1600,4,1,0,18,0,12,15.8,0
1838,4,1,0,40,0,13,524.06,1
1988,2,2,0,28,0,5,434.95,1
3381,5,2,0,25,0,6,530.99,1
4002,2,2,0,18,0,12,23.89,0
1367,1,2,0,11,0,2,60.73,0
2635,3,2,0,30,0,12,43.4,0
1598,2,1,0,34,0,4,906.34,1
344,4,1,0,30,0,12,40.65,0
985,4,1,0,49,0,10,210.03,1
1926,0,1,0,34,0,4,844.13,1
247,3,1,0,49,0,10,637.31,1
1850,4,1,0,49,0,10,462.78,1
1402,3,2,0,2,0,14,462.12,1
1795,2,1,0,26,0,13,1162.11,1
1736,2,2,0,43,0,7,31.46,0
1838,4,1,0,49,0,10,581.39,1
174,6,1,0,30,0,12,8.25,0
3092,3,1,0,49,0,10,600.1,1
3694,2,2,0,18,0,12,35.4,0
3308,4,1,0,46,0,5,771.1,1
3275,5,1,0,18,0,12,24.78,0
1666,3,1,0,18,0,12,42.46,0
3230,5,1,0,34,0,4,398.89,1
457,3,2,0,18,0,12,34.3,0
4038,3,1,0,22,0,9,269.05,1
3389,3,1,0,10,0,14,155.95,1
3783,3,2,0,25,0,6,392.69,1
1112,4,1,0,18,0,12,37.21,0
2569,5,2,0,18,0,12,6.8,0
4069,5,1,0,30,0,12,26.93,0
3654,2,1,0,18,0,12,19.97,0
1402,3,2,0,49,0,10,129.54,1
2465,1,1,0,49,0,10,51.98,1
2824,3,2,0,25,0,6,276.69,1
3824,2,1,0,18,0,12,32.28,0
632,6,1,0,18,0,12,3.32,0
626,2,1,0,2,0,14,487.67,1
2773,2,1,0,18,0,12,7.42,0
902,2,1,0,18,0,12,59.43,0
2633,4,2,0,46,0,5,181.55,1
1753,3,1,0,0,0,4,13.7,0
158,4,2,0,18,0,12,56.94,0
1014,3,1,0,2,0,14,358.14,1
542,5,1,0,34,0,4,855.81,1
18,4,2,0,18,0,12,12.55,0
1428,3,1,0,49,0,10,547.7,1
3867,1,1,0,30,0,12,34.85,0
3375,2,2,0,34,0,4,696.1,1
1894,2,2,0,42,0,11,213.38,1
3615,2,2,0,18,0,12,4.35,0
3643,4,2,0,46,0,5,245.26,1
2434,2,2,0,42,0,11,16.96,1
394,4,2,0,9,0,0,327.05,1
1905,2,1,0,15,0,10,165.52,1
731,2,1,0,34,0,4,377.93,1
1742,2,2,0,37,0,2,538.58,1
2818,5,1,0,18,0,12,28.43,0
3193,1,2,0,18,0,12,56.05,0
769,5,1,0,49,0,10,33.75,1
1411,4,2,0,49,0,10,212.29,1
2816,1,1,0,49,0,10,50.56,1
860,1,2,0,40,0,13,3491.53,1
2078,5,1,0,10,0,14,435.33,1
2865,4,2,0,18,0,12,44.82,0
628,1,2,0,34,0,4,342.61,1
1402,3,2,0,21,0,6,434.04,1
3231,2,1,0,21,0,6,473.26,1
861,3,2,0,49,0,10,344.16,1
2645,2,1,0,49,0,10,400.32,1
1241,2,1,0,14,0,10,34.79,1
1064,1,2,0,18,0,12,25.22,0
1378,4,1,0,18,0,12,5.52,0
2132,3,1,0,34,0,4,539.39,1
1637,4,1,0,18,0,12,34.01,0
744,6,2,0,16,0,14,15.76,1
3993,2,1,0,3,0,8,354.65,1
1478,2,1,0,36,0,4,1025.56,1
2347,2,1,0,34,0,4,214.87,1
415,2,1,0,30,0,12,37.95,0
2817,2,1,0,18,0,12,14.28,0
2697,3,2,0,49,0,10,676.56,1
3231,2,1,0,40,0,13,3066.05,1
598,2,1,0,18,0,12,59.97,0
432,2,2,0,43,0,7,222.07,1
1795,2,1,0,18,0,12,61.42,0
2645,2,1,0,18,0,12,18.62,0
3634,2,1,0,30,0,12,22.82,0
2170,4,2,0,18,0,12,3.81,0
1953,2,1,0,30,0,12,27.9,0
3968,3,2,0,34,0,4,218.23,1
2017,4,2,0,12,0,10,183.33,0
2981,5,1,0,18,0,12,11.92,0
206,3,1,0,18,0,12,7.16,0
1593,5,1,0,18,0,12,53.3,0
1145,2,1,0,30,0,12,5.95,0
1358,6,2,0,18,0,12,9.56,0
2039,1,1,0,18,0,12,5.82,0
3946,4,1,0,49,0,10,215.91,1
744,6,2,0,49,0,10,653.93,1
1574,1,1,0,21,0,6,6.17,1
2187,2,1,0,49,0,10,683.8,1
622,5,1,0,32,0,8,227.34,1
4086,5,1,0,9,0,0,59.74,0
2293,2,1,0,18,0,12,49.64,0
700,3,2,0,34,0,4,1397.63,1
728,3,1,0,14,0,10,383.64,1
3926,4,1,0,49,0,10,714.26,1
3004,2,1,0,18,0,12,38.47,0
3035,2,1,0,26,0,13,2931.46,1
2698,4,1,0,18,0,12,32.29,0
1693,5,2,0,49,0,10,0.95,1
3357,5,1,0,46,0,5,417.81,1
371,4,2,0,49,0,10,111.27,1
1478,2,1,0,49,0,10,244.46,1
3441,3,2,0,40,0,13,1442.14,1
1238,3,1,0,3,0,8,413.44,1
3769,2,1,0,34,0,4,236.81,1
815,4,1,0,18,0,12,38.47,0
1782,2,1,0,34,0,4,515.53,1
2232,5,1,0,32,0,8,238.86,1
3683,3,2,0,30,0,12,37.16,0
2074,3,2,0,30,0,12,28.4,0
2745,1,1,0,34,0,4,146.04,1
1861,5,1,0,18,0,12,39.31,0
67,4,1,0,40,0,13,1965.81,1
3844,2,1,0,18,0,12,30.43,0
1116,3,1,0,18,0,12,9.04,0
312,1,1,0,34,0,4,263.92,1
3163,3,2,0,30,0,12,20.91,0
3738,4,1,0,40,0,13,1113.82,1
72,5,2,0,31,0,2,100.98,0
3002,2,1,0,34,0,4,118.84,1
3125,4,1,0,30,0,12,26.17,0
1964,3,1,0,45,0,3,10.39,0
1148,3,1,0,18,0,12,39.87,0
3885,1,2,0,34,0,4,48.12,0
2522,3,1,0,32,0,8,314.22,1
3057,2,2,0,18,0,12,12.03,0
1957,4,2,0,18,0,12,16.12,0
1782,2,1,0,34,0,4,84.85,1
2025,5,2,0,18,0,12,16.23,0
3590,5,2,0,30,0,12,30.95,0
222,3,1,0,18,0,12,43.44,0
1005,4,2,0,49,0,10,184.25,1
2149,2,2,0,30,0,12,10.41,0
752,3,1,0,30,0,12,28.03,0
2933,2,2,0,18,0,12,10.23,0
3946,4,1,0,49,0,10,909.61,1
1205,5,1,0,18,0,12,50.86,0
2053,5,2,0,18,0,12,7.33,0
2428,2,1,0,43,0,7,167.58,1
3688,2,2,0,18,0,12,25.99,0
1584,5,1,0,30,0,12,26.53,0
2940,2,1,0,34,0,4,221.15,1
3885,1,2,0,44,0,6,512.77,1
2473,2,2,0,34,0,4,40.09,1
3466,2,2,0,42,0,11,34.68,1
2366,2,2,0,14,0,10,339.53,1
569,2,1,0,30,0,12,67.84,0
839,1,1,0,44,0,6,582.11,1
1810,4,1,0,18,0,12,20.55,0
70,6,2,0,21,0,6,582.75,1
149,4,1,0,12,0,10,805.35,1
2195,5,1,0,30,0,12,2.8,0
3632,2,1,0,3,0,8,329.79,1
3897,5,1,0,40,0,13,1042.53,1
3926,4,1,0,49,0,10,203.18,1
3245,2,1,0,45,0,3,4.66,0
559,2,2,0,45,0,3,44.49,0
1564,5,2,0,18,0,12,26.68,0
160,3,2,0,18,0,12,49.2,0
2626,5,2,0,6,0,6,208.28,1
1651,2,2,0,18,0,12,15.28,0
3036,5,2,0,36,0,4,115.87,0
2402,2,1,0,26,0,13,2261.67,1
272,2,1,0,44,0,6,253.29,1
4045,4,1,0,10,0,14,122.04,1
1864,3,1,0,30,0,12,12.16,0
2756,2,2,0,49,0,10,587.94,1
1120,2,1,0,18,0,12,47.32,0
1014,3,1,0,43,0,7,241.23,1
2256,2,2,0,30,0,12,23.71,0
1782,2,1,0,21,0,6,479.0,1
1571,6,1,0,18,0,12,53.02,0
2648,2,1,0,18,0,12,1.88,0
1358,6,2,0,30,0,12,6.95,0
1838,4,1,0,2,0,14,342.09,1
2715,5,2,0,18,0,12,39.63,0
3451,2,2,0,18,0,12,43.25,0
2702,1,1,0,30,0,12,36.32,0
2528,4,2,0,18,0,12,8.23,0
1938,2,2,0,30,0,12,9.09,0
3149,3,1,0,49,0,10,321.59,1
2986,2,2,0,18,0,12,15.34,0
2445,3,2,0,30,0,12,0.21,0
2769,2,2,0,14,0,10,403.87,1
3961,3,2,0,18,0,12,2.84,0
552,5,1,0,36,0,4,809.22,1
171,6,1,0,14,0,10,1021.6,1
2653,2,2,0,30,0,12,11.88,0
3358,1,2,0,34,0,4,438.81,1
2132,3,1,0,9,0,0,129.36,1
1017,1,1,0,30,0,12,5.24,0
834,2,1,0,18,0,12,11.97,0
729,1,1,0,49,0,10,455.24,1
2441,4,1,0,18,0,12,19.86,0
733,3,1,0,18,0,12,15.52,0
2720,6,1,0,34,0,4,137.49,1
634,2,1,0,30,0,12,13.8,0
1039,3,1,0,30,0,12,24.57,0
2816,1,1,0,34,0,4,72.9,1
3428,4,1,0,30,0,12,31.29,0
600,1,2,0,18,0,12,10.92,0
356,3,2,0,30,0,12,34.21,0
2912,4,1,0,49,0,10,233.04,1
2322,2,2,0,14,0,10,175.71,1
2353,2,1,0,34,0,4,571.95,1
2247,4,2,0,18,0,12,22.28,0
1637,4,1,0,15,0,10,178.82,1
1411,4,2,0,49,0,10,508.81,1
1476,3,1,0,34,0,4,83.87,1
850,3,1,0,18,0,12,5.85,0
1782,2,1,0,34,0,4,256.45,1
526,5,1,0,30,0,12,31.98,0
3359,2,2,0,49,0,10,699.09,1
947,2,1,0,18,0,12,16.73,0
2513,2,1,0,30,0,12,18.75,0
667,2,2,0,18,0,12,50.08,0
285,4,1,0,30,0,12,20.39,0
769,5,1,0,32,0,8,225.42,1
3926,4,1,0,27,0,14,332.54,1
1934,3,2,0,9,0,0,11.11,0
647,2,1,0,18,0,12,28.31,0
1579,1,2,0,18,0,12,33.43,0
1333,6,1,0,0,0,4,128.97,0
1001,3,2,0,34,0,4,54.87,1
605,4,1,0,40,0,13,2070.36,1
3126,3,1,0,18,0,12,18.44,0
1233,2,1,0,18,0,12,15.5,0
1697,5,2,0,6,0,6,352.91,1
2979,5,1,0,34,0,4,923.41,1
2229,3,2,0,30,0,12,51.66,0
1300,2,2,0,2,0,14,238.41,1
3764,2,1,0,34,0,4,153.85,1
1073,2,1,0,18,0,12,25.46,0
38,3,2,0,49,0,10,482.6,1
251,2,2,0,30,0,12,17.62,0
2522,3,1,0,22,0,9,528.53,1
730,2,1,0,18,0,12,31.77,0
211,2,2,0,18,0,12,13.29,0
995,2,1,0,21,0,6,291.93,1
3308,4,1,0,14,0,10,281.85,1
3208,4,2,0,40,0,13,1210.72,1
1926,0,1,0,32,0,8,395.07,1
2989,4,1,0,30,0,12,56.89,0
3822,3,1,0,23,0,4,44.69,0
2187,2,1,0,2,0,14,100.42,1
2696,4,1,0,18,0,12,15.58,0
1174,2,2,0,24,0,14,55.87,0
3136,3,2,0,19,0,11,108.01,0
2167,4,2,0,49,0,10,456.13,1
3466,2,2,0,43,0,7,17.61,1
3049,3,2,0,18,0,12,26.09,0
3005,2,2,0,34,0,4,757.98,1
3142,4,1,0,18,0,12,12.91,0
2316,3,2,0,42,0,11,297.27,1
2947,2,1,0,22,0,9,90.38,1
1402,3,2,0,49,0,10,302.67,1
3291,2,1,0,49,0,10,46.92,1
870,3,1,0,2,0,14,123.33,1
97,2,1,0,18,0,12,38.76,0
2409,3,1,0,2,0,14,53.57,1
976,2,1,0,45,0,3,31.1,0
3685,2,1,0,34,0,4,1025.4,1
2051,5,1,0,34,0,4,97.09,1
1793,4,2,0,18,0,12,33.36,0
1838,4,1,0,40,0,13,2956.37,1
525,3,2,0,34,0,4,194.07,1
2365,2,2,0,43,0,7,171.02,1
3926,4,1,0,49,0,10,739.24,1
2713,2,1,0,18,0,12,47.3,0
3394,5,2,0,18,0,12,38.74,0
1304,3,1,0,23,0,4,156.95,0
1014,3,1,0,34,0,4,4.25,1
2325,6,2,0,40,0,13,1491.09,1
609,4,2,0,30,0,12,48.53,0
1848,4,2,0,49,0,10,773.13,1
36,2,1,0,30,0,12,1.85,0
3436,3,1,0,18,0,12,22.04,0
2156,2,1,0,30,0,12,12.64,0
3372,2,2,0,30,0,12,17.55,0
2209,3,2,0,43,0,7,337.01,1
632,6,1,0,18,0,12,85.68,0
507,1,2,0,45,0,3,25.42,0
764,3,1,0,44,0,6,405.49,1
3230,5,1,0,30,0,12,22.94,0
2804,6,1,0,49,0,10,213.53,1
153,3,1,0,24,0,14,47.5,0
1037,2,1,0,30,0,12,4.36,0
3681,4,2,0,18,0,12,10.35,0
3253,2,2,0,18,0,12,23.76,0
2522,3,1,0,34,0,4,1795.12,1
2816,1,1,0,22,0,9,28.14,1
1658,2,1,0,45,0,3,35.14,0
2146,3,2,0,22,0,9,359.0,1
4102,5,1,0,43,0,7,216.05,1
3957,4,1,0,18,0,12,14.8,0
3439,2,2,0,40,0,13,6620.36,1
2633,4,2,0,18,0,12,0.87,0
1332,1,1,0,30,0,12,34.27,0
3186,6,1,0,30,0,12,28.4,0
2745,1,1,0,34,0,4,234.36,1
1713,4,1,0,34,0,4,100.58,1
3466,2,2,0,36,0,4,24.18,1
1101,2,1,0,30,0,12,3.72,0
3349,3,2,0,49,0,10,543.62,1
2187,2,1,0,34,0,4,277.28,1
1249,3,1,0,49,0,10,156.5,1
4020,1,1,0,30,0,12,30.08,0
3265,2,1,0,30,0,12,50.28,0
1074,5,1,0,42,0,11,508.03,1
1728,2,2,0,30,0,12,26.07,0
1105,2,1,0,49,0,10,326.69,1
3663,4,1,0,49,0,10,646.83,1
2281,2,1,0,34,0,4,87.27,1
208,5,1,0,18,0,12,5.51,0
2602,2,2,0,18,0,12,13.18,0
760,3,2,0,15,0,10,391.43,1
516,3,1,0,34,0,4,490.84,1
710,4,2,0,19,0,11,190.91,0
18,4,2,0,18,0,12,6.16,0
1855,3,1,0,49,0,10,447.53,1
19,4,1,0,18,0,12,27.51,0
3898,3,2,0,30,0,12,36.34,0
3891,4,1,0,34,0,4,289.42,1
796,2,1,0,49,0,10,328.95,1
3571,6,2,0,18,0,12,36.93,0
3340,4,1,0,34,0,4,352.93,1
2488,2,1,0,43,0,7,171.8,1
3911,3,1,0,15,0,10,376.82,1
1203,4,1,0,45,0,3,49.95,0
1807,4,2,0,25,0,6,425.83,1
1249,3,1,0,21,0,6,638.97,1
27,1,2,0,18,0,12,12.68,0
1130,1,2,0,18,0,12,50.31,0
234,4,2,0,18,0,12,15.44,0
1253,2,2,0,30,0,12,26.47,0
2816,1,1,0,34,0,4,322.77,1
2473,2,2,0,34,0,4,366.58,1
2515,3,2,0,37,0,2,58.43,1
1722,5,2,0,18,0,12,28.25,0
2150,3,1,0,18,0,12,5.79,0
2152,2,2,0,30,0,12,22.48,0
1346,2,2,0,30,0,12,32.56,0
1151,5,1,0,14,0,10,700.03,1
2654,2,2,0,35,0,13,5714.7,1
1878,2,1,0,18,0,12,4.57,0
2651,2,2,0,34,0,4,151.0,1
2816,1,1,0,43,0,7,201.4,1
2359,3,2,0,30,0,12,43.55,0
3559,3,2,0,22,0,9,382.44,1
1230,4,1,0,43,0,7,285.73,1
2474,3,2,0,30,0,12,26.27,0
2894,3,1,0,18,0,12,11.11,0
2796,2,2,0,49,0,10,313.92,1
789,4,1,0,18,0,12,9.34,0
2065,4,1,0,18,0,12,13.5,0
3273,2,2,0,34,0,4,297.76,1
628,1,2,0,49,0,10,63.45,1
1838,4,1,0,34,0,4,26.47,1
3618,1,2,0,9,0,0,7.92,0
1935,4,1,0,45,0,3,37.32,0
4032,4,1,0,18,0,12,38.65,0
458,4,2,0,34,0,4,612.64,1
1095,6,2,0,30,0,12,13.09,0
870,3,1,0,34,0,4,421.67,1
2785,1,1,0,18,0,12,13.6,0
1340,5,1,0,30,0,12,0.25,0
716,5,2,0,49,0,10,428.65,1
1580,5,2,0,46,0,5,144.78,1
2649,3,2,0,2,0,14,338.54,1
615,5,1,0,34,0,4,534.57,1
